,store name,item name,category
606,lidl,AriZona Iced Tea,drinks
607,TESCO,WALKERS CRISPS,snacks
608,TESCO,S/BERRY JELLY,snacks
609,TESCO,CC Hand wash,personal hygiene
610,ALDI,WINE RED SPANISH,alcohol
611,LiDL,Cucumber,groceries
612,COSTA,Chai Latte Regular,drinks
613,TESCO,CHICKEN THIGHS,groceries
614,ALDI,TUNA IN BRINE 145G,groceries
615,TESCO,CC Hand wash,personal hygiene
616,tesco,BUNTING 5METRE,homeware
617,TESCO,MINCE BEEF,groceries
618,TESCO,YOGURT FLAKE,groceries
619,TESCO,NUTELLA,groceries
620,TESCO,PORK SAUSAGE,groceries
621,TESCO,ACTIMEL 12PK,drinks
622,Vapouriz,NORD 2 POD KIT BY SMOK / 7 COLOUR COBRA,nicotine
623,WAITROSE & PARTNERS,Fruit 2 For £4,groceries
624,TESCO,BRIOCHE,groceries
625,Sushi Jun,Service Charge,eating out
626,LiDL,DC NAS App B Curran,drinks
627,ALDI,SALT TABLE 750G,groceries
628,TESCO,CC Potato shapes,groceries
629,tesco,SOFT DRINK,drinks
630,LiDL,Green Tea Pomegranat,drinks
631,TESCO,BACON,groceries
632,WHLUNG SUPERMARKET,FYN RINGENT CHESTNUT 270G,snacks
633,TESCO,TWIN SWEETCORN,groceries
634,TESCO,GINGER CAKE,snacks
635,TACO BELL,Guacamole Sgl Shot,eating out
636,lidl,Spring Onions,groceries
637,TESCO,ORANGE JELLY,snacks
638,TESCO,Feast Chocolate Ice Cream 4 x 90ml,snacks
639,ALDI,TUNA IN BRINE 145G,groceries
640,TESCO,BLACK PUDDING,groceries
641,Poundland,KODAK ZINC AA 10PK,electrical
642,TESCO,CC Frozen pizza,groceries
643,WAITROSE & PARTNERS,WR SALMN TAIL FILLTS,groceries
644,TESCO,SEASONAL VEG,groceries
645,TESCO,RED LEICESTER,groceries
646,TESCO,POTATOES,groceries
647,TESCO,CC Latte drink,drinks
648,TESCO,BERLINKI,groceries
649,TESCO,CARTRIDGES,electrical
650,Uber Eats,mango cheesecake mochi,eating out
651,TESCO,F/RANGE EGGS,groceries
652,Sainsbury's,"LEEK, CHEDDAR & ONIO",groceries
653,T4,- White Pe,drinks
654,www.itsu.com,chicken low,eating out
655,TESCO,PORK SAUSAGE,groceries
656,LiDL,Beef Brisket Joint,groceries
